TY  -,`ART`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Artist
C3  -,Size/Length
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  - ,Date
DB  -,Name of Database
DP  -,Database Provider
DO  -,DOI
ET  - ,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Size
M3  -,Type of Work
N1  -,Notes
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SP  -,Description
ST  -,Short Title
TI  -,Title
TT  -,Translated Title
TA  -,Translated Author
UR  -,URL
Y2  -,Access Date
