TY  -,`ADVS`
TY  -,`SLIDE`
TY  -,`SOUND`
TY  -,`VIDEO`
A2  -,Performers
A3  - ,Series Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Cast
C2  -,Credits
C3  -,Size/Length
C5  -,Format
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Number
M3  -,Type
N1  -,Notes
NV  -,Extent of Work
OP  -,Contents
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SN  -,ISBN
ST  -,Short Title
T3  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}
