TY  -,`CASE`
A2  -,Reporter
A3  -,Higher Court
A4  -,Counsel
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
CA  -,Caption
CN  -,Call Number
DA  -,Date Decided
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Action of Higher Court
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Citation of Reversal
N1  -,Notes
NV  -,Reporter Abbreviation
OP  -,History
PB  -,Court
PY  -,Year Decided
RN  -,Research Notes
SE  - ,Filed Date
SP  -,First Page
ST  -,Abbreviated Case Name
T3  -,Decision
TA  -,Translated Author
TI  -,Case Name
TT  -,Translated Title
UR  -,URL
VL  -,Reporter Volume
Y2  -,Access Date
ER  -,{IGNORE}
