TY  -,`CLSWK`
A2  -,Series Editor
A4  -,Translator
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Attribution
CA  -,Caption
CN  -,Call Number
CY  -,City
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Series Volume
M3  -,Type
N1  -,Notes
NV  -,Number of Volumes
OP  -,Original Publication
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
RP  -,Reprint Edition
SN  -,ISSN/ISBN
SP  -,Number of Pages
ST  -,Short Title
T2  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}
