TY  -,`GRANT`
A4  -,Translator
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Investigators
C1  -,Contact Name
C2  -,Contact Address
C3  -,Contact Phone
C4  -,Contact Fax
C5  -,Funding Number
C6  -,CFDA Number
CA  -,Caption
CN  -,Call Number
CY  -,Activity Location
DA  -,Deadline
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Requirement
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Status
M3  -,Funding Type
N1  -,Notes
NV  -,Amount Received
OP  -,Original Grant Number
PB  -,Sponsoring Agency
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Review Date
SE  - ,Duration of Grant
SP  -,Pages
ST  -,Short Title
TA  -,Translated Author
TI  -,Title of Grant
TT  -,Translated Title
UR  -,URL
VL  -,Amount Requested
Y2  -,Access Date
ER  -,{IGNORE}
