TY  -,`LEGAL`
A2  -,Issuing Organization
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CA  -,Caption
CN  -,Call Number
CY  -,Place Published
DA  -,Date of Code Edition
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Start Page
M3  -,Type of Work
N1  -,Notes
NV  -,Session Number
OP  - ,History
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SE  -,Section Number
SN  -,Document Number
SP  -,Pages
T2  -,Title Number
T3  -,Supplement No.
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Rule Number
Y2  -,Access Date
ER  -,{IGNORE}
