TY  -,`UNPB`
A2  - ,Series Editor
AB  -,Abstract
AD  -,Author Address
AU  -,Author
CA  -,Caption
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Number
M3  -,Type of Work
N1  -,Notes
PB  -,Institution
PY  -,Year
RN  -,Research Notes
SP  -,Pages
ST  -,Short Title
T2  -,Series Title
T3  - ,Department
TA  -,Translated Author
TI  -,Title of Work
TT  -,Translated Title
UR  -,URL
Y2  -,Access Date
ER  -,{IGNORE}
