TY  -,`AGGR`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CA  -,Caption
CY  -,City
DA  -,Date Accessed
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Date Published
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Publication Number
M3  -,Type of Work
N1  -,Notes
OP  -,Original Publication
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SE  -,Screens
SN  -,ISSN/ISBN
SP  -,Pages
ST  -,Short Title
T2  -,Periodical
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
ER  -,{IGNORE}
