TY  -,`ANCIENT`
A2  -,Editor
A4  -,Translator
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CN  -,Call Number
CA  -,Caption
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Abbreviated Publication
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Text Number
M3  -,Type of Work
N1  -,Notes
NV  -,Number of Volumes
OP  -,Original Publication
PB  -,Publisher
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SN  -,ISBN
SP  -,Pages
ST  -,Short Title
T2  -,Publication Title
T3  -,Volume Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}
