TY  -,`COMP`
A2  -,Series Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Programmer
CA  -,Caption
CN  -,Call Number
CY  -,City
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Version
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Computer
M3  -,Type
N1  -,Notes
OP  -,Contents
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SN  -,ISBN
SP  -,Description
ST  -,Short Title
T2  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Edition
Y2  -,Access Date
ER  -,{IGNORE}
