TY  -,`CPAPER`
A2  -,Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Place Published
CA  -,Caption
CY  -,Conference Location
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Type of Work
N1  -,Notes
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SP  -,Pages
T2  -,Conference Name
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
