TY  -,EBOOK
A2  -,Editor
A3  -,Series Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Year Cited
C2  -,Date Cited
C3  -,Title Prefix
C4  -,Reviewer
C5  -,Last Update Date
C6  -,NIHMSID
C7  -,PMCID
CA  -,Caption
CN  -,Call Number
CY  -,Place Published
DA  -,Date Accessed
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Type of Medium
N1  -,Notes
NV  -,Version
OP  -,Original Publication
PB  -,Publisher
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SN  -,ISBN
SP  -,Number of Pages
T2  -,Secondary Title
T3  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
