TY  -,`ENCYC`
A2  -,Editor
A4  -,Translator
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  - ,Term
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
N1  -,Notes
NV  -,Number of Volumes
OP  -,Original Publication
PB  -,Publisher
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SN  -,ISBN
SP  -,Pages
ST  -,Short Title
T2  -,Encyclopedia Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}
