TY  -,`EQUA`
A2  -,Name of File
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Created By
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Version
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Number
M3  -,Type of Image
N1  -,Notes
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SP  -,Description
T2  -,Image Source Program
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Image Size
Y2  -,Access Date
ER  -,{IGNORE}
