TY  -,`GOVDOC`
A2  -,Department
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Government Body
C2  -,Congress Number
C3  -,Congress Session
CA  -,Caption
CY  -,City
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Issue
N1  -,Notes
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SE  -,Section
SN  -,Report Number
SP  -,Pages
T3  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}
