TY  -,`HEAR`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
CA  -,Caption
CN  -,Call Number
CY  -,City
C2  - ,Congress Number
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Session
KW  -,Keywords
L1  -,File Attachments
L4  -,URL
LA  -,Language
LB  -,Label
M1  -,Document Number
N1  -,Notes
NV  -,Number of Volumes
OP  -,History
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SN  - ,ISBN
SP  -,Pages
ST  -,Short Title
T2  -,Committee
T3  -,Legislative Body
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
Y2  -,Access Date
ER  -,{IGNORE}
