TY  , MUSIC
A2  , Editor
A3  , Series Editor
A4  , Producer
AB  , Abstract
AD  , Author Address
AN  , Accession Number
AU  , Composer
C1  , Format of Music
C2  , Form of Composition
C3  , Music Parts
C4  , Target Audience
C5  , Accompanying Matter
CA  , Caption
CN  , Call Number
CY  , Place Published
DA  , Date
DB  , Name of Database
DO  , DOI
DP  , Database Provider
ET  , Edition
KW  , Keywords
L1  , File Attachments
L4  , Figure
LA  , Language
LB  , Label
M3  , Form of Item
N1  , Notes
NV  , Number of Volumes
OP  , Original Publication
PB  , Publisher
PY  , Year
RN  , Research Notes
RP  , Reprint Edition
SE  , Section
SN  , ISSN
SP  , Pages
ST  , Short Title
T2  , Album Title
T3  , Series Title
TA  , Translated Author
TI  , Title
TT  , Translated Title
UR  , URL
VL  , Volume
Y2  , Access Date
