TY  -,`NEWS`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Reporter
C1  -,Column
C2  - ,Issue
CA  - ,Caption
CN  - ,Call Number
CY  -,City
DB  -,Name of Database
DP  -,Database Provider
ET  - ,Edition
DO  -,DOI
SP  -,Pages
AN  -,Accession Number
KW  -,Keywords
LA  -,Language
L1  -,Figure
L4  -,File Attachments
M1  -,Start Page
M3  - ,Type of Article
SE  -,Section
N1  -,Notes
NV  - ,Frequency
PB  -,Publisher
PY  -,Year
RI  - ,Reviewed Item
RN  - ,Research Notes
RP  - ,Reprint Edition
SN  -,ISSN
SP  -,Pages
ST  - ,Short Title
T2  - ,Newspaper
TI  -,Title
TT  -,Translated Title
TA  -,Translated Author
UR  -,URL
VL  -,Volume
Y2  - ,Access Date
ER  -,{IGNORE}
