TY  -,`DBASE`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CA  -,Caption
CY  - ,Place Published
DA  -,Date Accessed
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Date Published
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Type of Work
N1  -,Notes
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SN  -,Report Number
SP  -,Pages
T2  -,Periodical
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
ER  -,{IGNORE}
