TY  -,`ELEC`
A2  - ,Series Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Year Cited
C2  -,Date Cited
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  -,Last Update Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Access Date
M3  -,Type of Medium
N1  -,Notes
OP  -,Contents
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SN  -,ISBN
SP  -,Description
ST  -,Short Title
T2  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Access Year
ER  -,{IGNORE}
